2021-1-31, 14:28:40, temps : 0.000171, offset : 253763584, cur_bytes : 1024 , bytes : 1024, 
2021-1-31, 14:28:55, temps : 0.000128, offset : 1076887552, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:55, temps : 0.000109, offset : 7657762816, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:55, temps : 0.000117, offset : 7657766912, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:55, temps : 0.000138, offset : 7657783296, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:55, temps : 0.000148, offset : 1576009728, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:55, temps : 0.000167, offset : 7657787392, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:55, temps : 0.004182, offset : 7657799680, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.004147, offset : 14154727424, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000135, offset : 7657803776, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.000159, offset : 7657816064, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000186, offset : 14154727424, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000325, offset : 3282903040, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000446, offset : 3282894848, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000593, offset : 3282882560, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.000704, offset : 3282870272, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.000784, offset : 3282849792, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000932, offset : 3282837504, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.001048, offset : 3282825216, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.001130, offset : 3282808832, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001280, offset : 3282776064, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.003064, offset : 3282751488, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.003166, offset : 3282739200, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.003281, offset : 3282731008, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.004722, offset : 3282718720, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.004801, offset : 3282698240, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.004994, offset : 3282685952, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.005103, offset : 3282665472, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.005232, offset : 3282653184, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005359, offset : 3282644992, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005494, offset : 3282612224, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005626, offset : 3282599936, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.005760, offset : 3282587648, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006046, offset : 3282575360, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006142, offset : 3282550784, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.006257, offset : 3282542592, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006430, offset : 3282530304, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006654, offset : 3282518016, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.006832, offset : 3282505728, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.006882, offset : 3282489344, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.006971, offset : 3282472960, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.007485, offset : 3282464768, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.007548, offset : 3282440192, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.000154, offset : 3283140608, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000214, offset : 3283259392, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000247, offset : 3283324928, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.000277, offset : 3283398656, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000818, offset : 3283447808, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000897, offset : 3283423232, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.000962, offset : 3283406848, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.001036, offset : 3283382272, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.001101, offset : 3283349504, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001166, offset : 3283337216, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001252, offset : 3283316736, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001320, offset : 3283296256, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.001394, offset : 3283271680, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.001469, offset : 3283238912, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.001535, offset : 3283218432, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.001602, offset : 3283206144, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.001669, offset : 3283193856, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.001735, offset : 3283165184, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001801, offset : 3283152896, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001872, offset : 3283124224, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.001939, offset : 3283111936, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.002004, offset : 3283095552, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002070, offset : 3283083264, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002136, offset : 3283075072, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002204, offset : 3283046400, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.002272, offset : 3283034112, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002338, offset : 3283021824, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002404, offset : 3282993152, cur_bytes : 24576 , bytes : 24576, 
2021-1-31, 14:28:56, temps : 0.002478, offset : 3282968576, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.002554, offset : 3282956288, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002659, offset : 3282935808, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.002740, offset : 3282923520, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000125, offset : 3285065728, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.000290, offset : 3285028864, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.000415, offset : 3285004288, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000576, offset : 3284996096, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.000666, offset : 3284971520, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.000811, offset : 3284955136, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.000912, offset : 3284938752, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.001047, offset : 3284918272, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.001169, offset : 3284910080, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001285, offset : 3284897792, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001480, offset : 3284881408, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.001575, offset : 3284869120, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.002176, offset : 3284840448, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.002268, offset : 3284815872, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002360, offset : 3284807680, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002450, offset : 3284799488, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002550, offset : 3284787200, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.002642, offset : 3284774912, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002732, offset : 3284758528, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.002822, offset : 3284729856, cur_bytes : 20480 , bytes : 20480, 
2021-1-31, 14:28:56, temps : 0.002913, offset : 3284721664, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.003003, offset : 3284709376, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.003103, offset : 3284692992, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.003214, offset : 3284680704, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.003319, offset : 3284660224, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.003427, offset : 3284652032, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.003534, offset : 3284627456, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.003642, offset : 3284619264, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008475, offset : 3284606976, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008581, offset : 3284590592, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008687, offset : 3284582400, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008802, offset : 3284566016, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.008984, offset : 3284541440, cur_bytes : 12288 , bytes : 12288, 
